#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Host Connected,End of File
89,05/31/2023 03:24:22,26.40,62.793,18.76,,
90,05/31/2023 03:34:22,26.38,62.744,18.73,,
91,05/31/2023 03:44:22,26.38,62.695,18.71,,
92,05/31/2023 03:54:22,26.38,62.622,18.70,,
93,05/31/2023 04:04:22,26.38,62.573,18.68,,
94,05/31/2023 04:14:22,26.38,62.500,18.66,,
95,05/31/2023 04:24:22,26.38,62.451,18.65,,
96,05/31/2023 04:34:22,26.38,62.354,18.63,,
97,05/31/2023 04:44:22,26.38,62.305,18.61,,
98,05/31/2023 04:54:22,26.38,62.256,18.60,,
99,05/31/2023 05:04:22,26.38,62.183,18.58,,
100,05/31/2023 05:14:22,26.35,62.134,18.54,,
101,05/31/2023 05:24:22,26.35,62.085,18.53,,
102,05/31/2023 05:34:22,26.35,62.061,18.52,,
103,05/31/2023 05:44:22,26.35,61.987,18.50,,
104,05/31/2023 05:54:22,26.35,61.963,18.50,,
105,05/31/2023 06:04:22,26.38,61.865,18.50,,
106,05/31/2023 06:14:22,26.52,61.475,18.53,,
107,05/31/2023 06:24:22,26.67,61.108,18.58,,
108,05/31/2023 06:34:22,26.79,60.742,18.59,,
109,05/31/2023 06:44:22,26.92,60.400,18.63,,
110,05/31/2023 06:54:22,27.01,60.083,18.63,,
111,05/31/2023 07:04:22,27.09,60.718,18.87,,
112,05/31/2023 07:14:22,27.16,61.206,19.06,,
113,05/31/2023 07:24:22,27.23,61.621,19.24,,
114,05/31/2023 07:34:22,26.70,51.294,15.83,,
115,05/31/2023 07:44:22,25.11,68.848,19.01,,
116,05/31/2023 07:54:22,25.87,69.043,19.78,,
117,05/31/2023 08:04:22,26.40,67.603,19.95,,
118,05/31/2023 08:14:22,26.40,56.958,17.21,,
119,05/31/2023 08:24:22,26.45,59.009,17.81,,
120,05/31/2023 08:34:22,26.52,60.938,18.39,,
121,05/31/2023 08:44:22,26.50,58.740,17.79,,
122,05/31/2023 08:54:22,26.55,61.426,18.55,,
123,05/31/2023 09:04:22,26.60,63.452,19.12,,
124,05/31/2023 09:14:22,26.65,64.771,19.49,,
125,05/31/2023 09:24:22,26.72,66.064,19.88,,
126,05/31/2023 09:34:22,26.77,64.868,19.63,,
127,05/31/2023 09:44:22,26.65,55.884,17.14,,
128,05/31/2023 09:54:22,26.60,57.422,17.52,,
129,05/31/2023 10:04:22,26.60,60.986,18.48,,
130,05/31/2023 10:14:22,26.62,63.647,19.18,,
131,05/31/2023 10:24:22,26.70,65.015,19.60,,
132,05/31/2023 10:34:22,26.77,65.576,19.81,,
133,05/31/2023 10:44:22,26.87,65.991,20.00,,
134,05/31/2023 10:54:22,26.94,66.455,20.18,,
135,05/31/2023 11:04:22,27.04,66.772,20.36,,
136,05/31/2023 11:14:22,27.11,67.090,20.50,,
137,05/31/2023 11:24:22,27.19,67.383,20.65,,
138,05/31/2023 11:34:22,27.26,67.603,20.77,,
139,05/31/2023 11:44:22,27.01,58.643,18.24,,
140,05/31/2023 11:54:22,25.40,70.288,19.62,,
141,05/31/2023 12:04:22,25.96,73.682,20.92,,
142,05/31/2023 12:14:22,26.40,72.217,21.02,,
143,05/31/2023 12:24:22,26.62,71.021,20.96,,
144,05/31/2023 12:34:22,26.79,70.117,20.91,,
145,05/31/2023 12:44:22,26.92,69.458,20.88,,
146,05/31/2023 12:54:22,27.01,68.970,20.85,,
147,05/31/2023 13:04:22,27.11,68.530,20.84,,
148,05/31/2023 13:14:22,27.21,68.164,20.85,,
149,05/31/2023 13:24:22,26.43,51.880,15.76,,
150,05/31/2023 13:34:22,25.40,72.681,20.16,,
151,05/31/2023 13:44:22,25.94,72.412,20.62,,
152,05/31/2023 13:54:22,26.38,70.508,20.61,,
153,05/31/2023 14:04:22,26.57,69.434,20.54,,
154,05/31/2023 14:14:22,26.72,68.652,20.50,,
155,05/31/2023 14:24:22,26.87,68.018,20.49,,
156,05/31/2023 14:34:22,26.96,67.505,20.46,,
157,05/31/2023 14:44:22,27.09,67.065,20.47,,
158,05/31/2023 14:54:22,27.19,66.626,20.46,,
159,05/31/2023 15:04:22,27.16,61.548,19.15,,
160,05/31/2023 15:14:22,25.31,67.920,18.98,,
161,05/31/2023 15:24:22,25.82,70.898,20.16,,
162,05/31/2023 15:34:22,26.38,69.067,20.27,,
163,05/31/2023 15:44:22,26.62,67.822,20.21,,
164,05/31/2023 15:54:22,26.77,67.017,20.16,,
165,05/31/2023 16:04:22,26.92,66.406,20.15,,
166,05/31/2023 16:14:22,27.04,65.918,20.15,,
167,05/31/2023 16:24:22,27.14,65.503,20.14,,
168,05/31/2023 16:34:22,27.23,65.088,20.12,,
169,05/31/2023 16:44:22,25.60,56.396,16.30,,
170,05/31/2023 16:54:22,25.65,70.288,19.86,,
171,05/31/2023 17:04:22,26.13,68.555,19.92,,
172,05/31/2023 17:14:22,26.43,67.065,19.85,,
173,05/31/2023 17:24:22,26.62,66.187,19.81,,
174,05/31/2023 17:34:22,26.77,65.576,19.81,,
175,05/31/2023 17:44:22,26.89,65.015,19.78,,
176,05/31/2023 17:54:22,27.01,64.575,19.79,,
177,05/31/2023 18:04:22,27.11,64.258,19.80,,
178,05/31/2023 18:14:22,27.21,63.892,19.80,,
179,05/31/2023 18:24:22,25.87,48.926,14.34,,
180,05/31/2023 18:34:22,25.48,69.165,19.44,,
181,05/31/2023 18:44:22,25.96,67.554,19.52,,
182,05/31/2023 18:54:22,26.40,65.942,19.55,,
183,05/31/2023 19:04:22,26.60,65.039,19.51,,
184,05/31/2023 19:14:22,26.74,64.404,19.49,,
185,05/31/2023 19:24:22,26.89,63.892,19.50,,
186,05/31/2023 19:34:22,26.99,63.501,19.50,,
187,05/31/2023 19:44:22,27.11,63.110,19.51,,
188,05/31/2023 19:54:22,27.21,62.793,19.52,,
189,05/31/2023 20:04:22,26.48,49.829,15.18,,
190,05/31/2023 20:14:22,25.14,68.042,18.85,,
191,05/31/2023 20:24:22,25.67,67.285,19.18,,
192,05/31/2023 20:34:22,26.08,65.698,19.18,,
193,05/31/2023 20:44:22,26.18,65.088,19.13,,
194,05/31/2023 20:54:22,26.21,64.697,19.06,,
195,05/31/2023 21:04:22,26.21,64.478,19.00,,
196,05/31/2023 21:14:22,26.21,64.331,18.97,,
197,05/31/2023 21:24:22,26.23,64.209,18.96,,
198,05/31/2023 21:34:22,26.23,64.111,18.93,,
199,05/31/2023 21:44:22,26.23,64.014,18.91,,
200,05/31/2023 21:54:22,26.23,63.940,18.89,,
201,05/31/2023 22:04:22,26.23,63.843,18.86,,
202,05/31/2023 22:14:22,26.23,63.770,18.85,,
203,05/31/2023 22:24:22,26.23,63.721,18.83,,
204,05/31/2023 22:34:22,26.23,63.647,18.81,,
205,05/31/2023 22:44:22,26.23,63.550,18.79,,
206,05/31/2023 22:54:22,26.23,63.477,18.77,,
207,05/31/2023 23:04:22,26.21,63.452,18.75,,
208,05/31/2023 23:14:22,26.23,63.330,18.73,,
209,05/31/2023 23:24:22,26.21,63.281,18.70,,
210,05/31/2023 23:34:22,26.21,63.208,18.68,,
211,05/31/2023 23:44:22,26.21,63.135,18.67,,
212,05/31/2023 23:54:22,26.21,63.110,18.66,,
213,06/01/2023 00:04:22,26.21,63.013,18.64,,
214,06/01/2023 00:14:22,26.21,62.964,18.62,,
215,06/01/2023 00:24:22,26.21,62.891,18.60,,
216,06/01/2023 00:34:22,26.21,62.842,18.59,,
217,06/01/2023 00:44:22,26.21,62.744,18.57,,
218,06/01/2023 00:54:22,26.21,62.671,18.55,,
219,06/01/2023 01:04:22,26.18,62.573,18.49,,
220,06/01/2023 01:14:22,26.18,62.524,18.48,,
221,06/01/2023 01:24:22,26.18,62.451,18.46,,
222,06/01/2023 01:34:22,26.18,62.378,18.44,,
223,06/01/2023 01:44:22,26.18,62.305,18.43,,
224,06/01/2023 01:54:22,26.16,62.207,18.38,,
225,06/01/2023 02:04:22,26.16,62.207,18.38,,
226,06/01/2023 02:14:22,26.16,62.109,18.36,,
227,06/01/2023 02:24:22,26.16,62.036,18.34,,
228,06/01/2023 02:34:22,26.16,62.012,18.33,,
229,06/01/2023 02:44:22,26.13,61.938,18.28,,
230,06/01/2023 02:54:22,26.13,61.865,18.27,,
231,06/01/2023 03:04:22,26.13,61.841,18.26,,
232,06/01/2023 03:14:22,26.11,61.792,18.23,,
233,06/01/2023 03:24:22,26.11,61.792,18.23,,
234,06/01/2023 03:34:22,26.11,61.719,18.21,,
235,06/01/2023 03:44:22,26.11,61.694,18.20,,
236,06/01/2023 03:54:22,26.08,61.646,18.16,,
237,06/01/2023 04:04:22,26.08,61.621,18.16,,
238,06/01/2023 04:14:22,26.08,61.597,18.15,,
239,06/01/2023 04:24:22,26.08,61.548,18.14,,
240,06/01/2023 04:34:22,26.06,61.523,18.11,,
241,06/01/2023 04:44:22,26.06,61.475,18.10,,
242,06/01/2023 04:54:22,26.06,61.450,18.09,,
243,06/01/2023 05:04:22,26.06,61.377,18.07,,
244,06/01/2023 05:14:22,26.04,61.328,18.04,,
245,06/01/2023 05:24:22,26.04,61.304,18.04,,
246,06/01/2023 05:34:22,26.04,61.255,18.02,,
247,06/01/2023 05:44:22,26.04,61.230,18.02,,
248,06/01/2023 05:54:22,26.04,61.157,18.00,,
249,06/01/2023 06:04:22,26.06,61.060,17.99,,
250,06/01/2023 06:14:22,26.21,60.718,18.04,,
251,06/01/2023 06:24:22,26.33,60.352,18.06,,
252,06/01/2023 06:34:22,26.48,60.059,18.12,,
253,06/01/2023 06:44:22,26.57,60.449,18.31,,
254,06/01/2023 06:54:22,26.67,61.182,18.60,,
255,06/01/2023 07:04:22,26.77,61.133,18.68,,
256,06/01/2023 07:14:22,26.84,62.354,19.06,,
257,06/01/2023 07:24:22,26.89,63.940,19.51,,
258,06/01/2023 07:34:22,26.89,67.773,20.45,,
259,06/01/2023 07:44:22,26.94,68.750,20.73,,
260,06/01/2023 07:54:22,27.01,69.067,20.88,,
261,06/01/2023 08:04:22,27.09,69.360,21.02,,
262,06/01/2023 08:14:22,27.14,67.139,20.54,,
263,06/01/2023 08:24:22,27.16,64.844,19.99,,
264,06/01/2023 08:34:22,27.19,63.818,19.77,,
265,06/01/2023 08:44:22,27.23,64.111,19.88,,
266,06/01/2023 08:54:22,27.28,65.186,20.19,,
267,06/01/2023 09:04:22,27.28,62.622,19.55,,
268,06/01/2023 09:14:22,25.38,67.627,18.98,,
269,06/01/2023 09:24:22,25.87,66.797,19.25,,
270,06/01/2023 09:34:22,26.30,67.188,19.75,,
271,06/01/2023 09:44:22,26.50,67.456,20.01,,
272,06/01/2023 09:54:22,26.65,67.871,20.25,,
273,06/01/2023 10:04:22,26.77,68.286,20.46,,
274,06/01/2023 10:14:22,26.87,68.726,20.66,,
275,06/01/2023 10:24:22,26.96,69.116,20.84,,
276,06/01/2023 10:34:22,27.04,69.507,21.01,,
277,06/01/2023 10:44:22,27.06,65.747,20.12,,
278,06/01/2023 10:54:22,27.11,64.990,19.98,,
279,06/01/2023 11:04:22,27.19,65.918,20.29,,
280,06/01/2023 11:14:22,27.21,64.282,19.90,,
281,06/01/2023 11:24:22,27.14,58.911,18.43,,
282,06/01/2023 11:34:22,27.19,60.303,18.85,,
283,06/01/2023 11:44:22,27.26,61.084,19.13,,
284,06/01/2023 11:54:22,26.40,49.243,14.92,,
285,06/01/2023 12:04:22,25.36,69.116,19.31,,
286,06/01/2023 12:14:22,25.99,68.530,19.78,,
287,06/01/2023 12:24:22,26.21,67.773,19.81,,
288,06/01/2023 12:34:22,26.38,67.212,19.83,,
289,06/01/2023 12:44:22,26.55,66.724,19.88,,
290,06/01/2023 12:54:22,26.70,66.235,19.90,,
291,06/01/2023 13:04:22,26.79,65.869,19.90,,
292,06/01/2023 13:14:22,26.92,65.527,19.94,,
293,06/01/2023 13:24:22,27.04,65.186,19.97,,
294,06/01/2023 13:34:22,27.14,64.893,19.99,,
295,06/01/2023 13:44:22,27.23,64.600,20.00,,
296,06/01/2023 13:54:22,26.55,51.880,15.87,,
297,06/01/2023 14:04:22,25.33,70.532,19.61,,
298,06/01/2023 14:14:22,25.99,69.897,20.10,,
299,06/01/2023 14:24:22,26.18,68.872,20.04,,
300,06/01/2023 14:34:22,26.38,68.091,20.04,,
301,06/01/2023 14:44:22,26.52,67.505,20.04,,
302,06/01/2023 14:54:22,26.67,66.992,20.06,,
303,06/01/2023 15:04:22,26.82,66.479,20.08,,
304,06/01/2023 15:14:22,26.92,65.991,20.05,,
305,06/01/2023 15:24:22,27.01,65.625,20.05,,
306,06/01/2023 15:34:22,27.11,65.234,20.04,,
307,06/01/2023 15:44:22,27.23,64.917,20.08,,
308,06/01/2023 15:54:22,26.06,49.170,14.59,,
309,06/01/2023 16:04:22,25.36,74.414,20.51,,
310,06/01/2023 16:14:22,25.96,74.561,21.12,,
311,06/01/2023 16:24:22,26.40,73.413,21.29,,
312,06/01/2023 16:34:22,26.60,72.803,21.34,,
313,06/01/2023 16:44:22,26.74,72.510,21.41,,
314,06/01/2023 16:54:22,26.87,72.363,21.50,,
315,06/01/2023 17:04:22,26.96,72.266,21.57,,
316,06/01/2023 17:14:22,27.06,72.241,21.66,,
317,06/01/2023 17:24:22,27.16,72.241,21.75,,
318,06/01/2023 17:34:22,27.26,72.266,21.86,,
319,06/01/2023 17:44:22,27.04,62.183,19.21,,
320,06/01/2023 17:54:22,25.36,73.755,20.36,,
321,06/01/2023 18:04:22,25.96,78.711,22.00,,
322,06/01/2023 18:14:22,26.38,77.295,22.11,,
323,06/01/2023 18:24:22,26.62,75.928,22.05,,
324,06/01/2023 18:34:22,26.79,75.000,22.01,,
325,06/01/2023 18:44:22,26.94,74.219,21.99,,
326,06/01/2023 18:54:22,27.06,73.511,21.94,,
327,06/01/2023 19:04:22,27.16,72.925,21.91,,
328,06/01/2023 19:14:22,27.26,72.363,21.88,,
329,06/01/2023 19:24:22,25.45,65.796,18.61,,
330,06/01/2023 19:34:22,25.82,77.954,21.71,,
331,06/01/2023 19:44:22,26.11,76.294,21.64,,
332,06/01/2023 19:54:22,26.55,74.390,21.65,,
333,06/01/2023 20:04:22,26.70,73.242,21.54,,
334,06/01/2023 20:14:22,26.72,72.705,21.44,,
335,06/01/2023 20:24:22,26.70,72.363,21.34,,
336,06/01/2023 20:34:22,26.67,72.119,21.26,,
337,06/01/2023 20:44:22,26.65,71.924,21.19,,
338,06/01/2023 20:54:22,26.65,71.753,21.15,,
339,06/01/2023 21:04:22,26.62,71.533,21.07,,
340,06/01/2023 21:14:22,26.62,71.362,21.04,,
341,06/01/2023 21:24:22,26.60,71.118,20.96,,
342,06/01/2023 21:34:22,26.60,70.923,20.92,,
343,06/01/2023 21:44:22,26.60,70.728,20.87,,
344,06/01/2023 21:54:22,26.57,70.483,20.79,,
345,06/01/2023 22:04:22,26.57,70.288,20.74,,
346,06/01/2023 22:14:22,26.57,70.117,20.70,,
347,06/01/2023 22:24:22,26.57,69.946,20.66,,
348,06/01/2023 22:34:22,26.55,69.775,20.60,,
349,06/01/2023 22:44:22,26.55,69.604,20.56,,
350,06/01/2023 22:54:22,26.55,69.409,20.52,,
351,06/01/2023 23:04:22,26.55,69.287,20.49,,
352,06/01/2023 23:14:22,26.55,69.116,20.45,,
353,06/01/2023 23:24:22,26.55,68.945,20.41,,
354,06/01/2023 23:34:22,26.55,68.799,20.37,,
355,06/01/2023 23:44:22,26.55,68.652,20.34,,
356,06/01/2023 23:54:22,26.55,68.481,20.30,,
357,06/02/2023 00:04:22,26.52,68.335,20.24,,
358,06/02/2023 00:14:22,26.52,68.164,20.19,,
359,06/02/2023 00:24:22,26.52,68.066,20.17,,
360,06/02/2023 00:34:22,26.52,67.896,20.13,,
361,06/02/2023 00:44:22,26.52,67.773,20.10,,
362,06/02/2023 00:54:22,26.52,67.627,20.07,,
363,06/02/2023 01:04:22,26.50,67.505,20.02,,
364,06/02/2023 01:14:22,26.50,67.358,19.98,,
365,06/02/2023 01:24:22,26.50,67.188,19.94,,
366,06/02/2023 01:34:22,26.50,67.090,19.92,,
367,06/02/2023 01:44:22,26.50,66.943,19.88,,
368,06/02/2023 01:54:22,26.50,66.821,19.85,,
369,06/02/2023 02:04:22,26.50,66.724,19.83,,
370,06/02/2023 02:14:22,26.50,66.577,19.79,,
371,06/02/2023 02:24:22,26.50,66.479,19.77,,
372,06/02/2023 02:34:22,26.48,66.357,19.72,,
373,06/02/2023 02:44:22,26.48,66.187,19.68,,
374,06/02/2023 02:54:22,26.48,66.089,19.66,,
375,06/02/2023 03:04:22,26.48,66.016,19.64,,
376,06/02/2023 03:14:22,26.48,65.845,19.60,,
377,06/02/2023 03:24:22,26.48,65.747,19.57,,
378,06/02/2023 03:34:22,26.48,65.649,19.55,,
379,06/02/2023 03:44:22,26.48,65.527,19.52,,
380,06/02/2023 03:54:22,26.48,65.430,19.50,,
381,06/02/2023 04:04:22,26.48,65.308,19.47,,
382,06/02/2023 04:14:22,26.48,65.210,19.44,,
383,06/02/2023 04:24:22,26.45,65.112,19.39,,
384,06/02/2023 04:34:22,26.45,65.015,19.36,,
385,06/02/2023 04:44:22,26.45,64.941,19.35,,
386,06/02/2023 04:54:22,26.45,64.844,19.32,,
387,06/02/2023 05:04:22,26.45,64.771,19.30,,
388,06/02/2023 05:14:22,26.45,64.673,19.28,,
389,06/02/2023 05:24:22,26.43,64.600,19.24,,
390,06/02/2023 05:34:22,26.45,64.502,19.24,,
391,06/02/2023 05:44:22,26.43,64.478,19.21,,
392,06/02/2023 05:54:22,26.43,64.380,19.19,,
393,06/02/2023 06:04:22,26.48,64.258,19.20,,
394,06/02/2023 06:14:22,26.60,62.134,18.78,,
395,06/02/2023 06:24:22,26.72,60.522,18.47,,
396,06/02/2023 06:34:22,26.84,60.205,18.50,,
397,06/02/2023 06:44:22,26.89,58.838,18.18,,
398,06/02/2023 06:54:22,26.89,58.374,18.05,,
399,06/02/2023 07:04:22,26.92,59.863,18.48,,
400,06/02/2023 07:14:22,26.96,60.205,18.61,,
401,06/02/2023 07:24:22,26.92,60.400,18.63,,
402,06/02/2023 07:34:22,26.96,63.477,19.46,,
403,06/02/2023 07:44:22,27.01,65.967,20.13,,
404,06/02/2023 07:54:22,27.06,67.529,20.56,,
405,06/02/2023 08:04:22,27.16,68.042,20.78,,
406,06/02/2023 08:14:22,27.26,68.262,20.92,,
407,06/02/2023 08:24:22,27.09,60.571,18.83,,
408,06/02/2023 08:34:22,25.36,71.216,19.79,,
409,06/02/2023 08:44:22,25.94,75.806,21.37,,
410,06/02/2023 08:54:22,26.35,70.557,20.59,,
411,06/02/2023 09:04:22,26.55,70.337,20.73,,
412,06/02/2023 09:14:22,26.70,70.288,20.87,,
413,06/02/2023 09:24:22,26.82,70.239,20.97,,
414,06/02/2023 09:34:22,26.62,58.691,17.89,,
415,06/02/2023 09:44:22,26.62,61.548,18.65,,
416,06/02/2023 09:54:22,26.65,63.623,19.21,,
417,06/02/2023 10:04:22,26.72,64.551,19.50,,
418,06/02/2023 10:14:22,26.79,64.893,19.66,,
419,06/02/2023 10:24:22,26.89,64.990,19.78,,
420,06/02/2023 10:34:22,26.99,64.966,19.86,,
421,06/02/2023 10:44:22,27.09,64.819,19.92,,
422,06/02/2023 10:54:22,27.16,64.746,19.97,,
423,06/02/2023 11:04:22,27.26,64.551,20.02,,
424,06/02/2023 11:14:22,25.50,60.254,17.25,,
425,06/02/2023 11:24:22,25.70,71.338,20.15,,
426,06/02/2023 11:34:22,26.21,69.751,20.27,,
427,06/02/2023 11:44:22,26.48,68.433,20.22,,
428,06/02/2023 11:54:22,26.65,67.700,20.21,,
429,06/02/2023 12:04:22,26.79,67.114,20.20,,
430,06/02/2023 12:14:22,26.94,66.626,20.23,,
431,06/02/2023 12:24:22,27.04,66.260,20.23,,
432,06/02/2023 12:34:22,27.14,65.894,20.24,,
433,06/02/2023 12:44:22,27.23,65.527,20.23,,
434,06/02/2023 12:54:22,25.43,63.843,18.11,,
435,06/02/2023 13:04:22,25.84,71.631,20.35,,
436,06/02/2023 13:14:22,26.11,70.239,20.29,,
437,06/02/2023 13:24:22,26.30,69.263,20.24,,
438,06/02/2023 13:34:22,26.48,68.457,20.23,,
439,06/02/2023 13:44:22,26.65,67.773,20.23,,
440,06/02/2023 13:54:22,26.79,67.236,20.23,,
441,06/02/2023 14:04:22,26.92,66.772,20.24,,
442,06/02/2023 14:14:22,27.01,66.333,20.22,,
443,06/02/2023 14:24:22,27.14,65.967,20.25,,
444,06/02/2023 14:34:22,27.23,65.576,20.24,,
445,06/02/2023 14:44:22,25.55,59.717,17.16,,
446,06/02/2023 14:54:22,25.72,71.484,20.20,,
447,06/02/2023 15:04:22,26.08,69.775,20.15,,
448,06/02/2023 15:14:22,26.28,68.774,20.11,,
449,06/02/2023 15:24:22,26.45,67.944,20.08,,
450,06/02/2023 15:34:22,26.62,67.285,20.08,,
451,06/02/2023 15:44:22,26.77,66.699,20.08,,
452,06/02/2023 15:54:22,26.89,66.162,20.06,,
453,06/02/2023 16:04:22,27.01,65.723,20.07,,
454,06/02/2023 16:14:22,27.11,65.308,20.06,,
455,06/02/2023 16:24:22,27.21,64.917,20.06,,
456,06/02/2023 16:34:22,25.96,48.975,14.43,,
457,06/02/2023 16:44:22,25.45,71.460,19.94,,
458,06/02/2023 16:54:22,26.01,69.751,20.08,,
459,06/02/2023 17:04:22,26.23,68.652,20.03,,
460,06/02/2023 17:14:22,26.40,67.773,19.99,,
461,06/02/2023 17:24:22,26.57,67.041,19.97,,
462,06/02/2023 17:34:22,26.72,66.406,19.96,,
463,06/02/2023 17:44:22,26.84,65.845,19.94,,
464,06/02/2023 17:54:22,26.96,65.356,19.93,,
465,06/02/2023 18:04:22,27.09,64.917,19.95,,
466,06/02/2023 18:14:22,27.19,64.502,19.94,,
467,06/02/2023 18:24:22,26.57,52.124,15.97,,
468,06/02/2023 18:34:22,25.28,70.459,19.54,,
469,06/02/2023 18:44:22,25.94,69.678,20.00,,
470,06/02/2023 18:54:22,26.16,68.555,19.94,,
471,06/02/2023 19:04:22,26.35,67.725,19.93,,
472,06/02/2023 19:14:22,26.52,67.017,19.92,,
473,06/02/2023 19:24:22,26.67,66.455,19.93,,
474,06/02/2023 19:34:22,26.79,65.942,19.92,,
475,06/02/2023 19:44:22,26.92,65.356,19.89,,
476,06/02/2023 19:54:22,27.04,64.917,19.90,,
477,06/02/2023 20:04:22,27.11,64.551,19.87,,
478,06/02/2023 20:14:22,27.06,64.453,19.80,,
