#,Date-Time (PST/PDT),Ch:1 - Temperature   (°C),Ch:2 - RH   (%),Dew Point   (°C)
58,07/19/2023 15:44:47,27.33,73.169,22.13
59,07/19/2023 15:54:47,26.08,72.974,20.88
60,07/19/2023 16:04:47,26.60,74.463,21.71
61,07/19/2023 16:14:47,26.84,72.949,21.61
62,07/19/2023 16:24:47,27.11,71.460,21.53
63,07/19/2023 16:34:47,27.36,70.068,21.45
64,07/19/2023 16:44:47,26.13,72.852,20.90
65,07/19/2023 16:54:47,26.62,71.338,21.03
66,07/19/2023 17:04:47,26.87,69.922,20.94
67,07/19/2023 17:14:47,27.14,68.555,20.88
68,07/19/2023 17:24:47,27.23,65.356,20.19
69,07/19/2023 17:34:47,26.26,70.337,20.46
70,07/19/2023 17:44:47,26.62,68.604,20.39
71,07/19/2023 17:54:47,26.89,67.310,20.34
72,07/19/2023 18:04:47,27.14,66.040,20.27
73,07/19/2023 18:14:47,26.79,58.594,18.02
74,07/19/2023 18:24:47,26.33,67.700,19.90
75,07/19/2023 18:34:47,26.62,66.138,19.80
76,07/19/2023 18:44:47,26.89,64.941,19.76
77,07/19/2023 18:54:47,27.14,63.818,19.72
78,07/19/2023 19:04:47,26.84,56.909,17.60
79,07/19/2023 19:14:47,26.30,65.942,19.45
80,07/19/2023 19:24:47,26.60,64.453,19.37
81,07/19/2023 19:34:47,26.87,63.354,19.35
82,07/19/2023 19:44:47,27.11,62.329,19.31
83,07/19/2023 19:54:47,27.23,59.888,18.78
84,07/19/2023 20:04:47,26.11,64.624,18.95
85,07/19/2023 20:14:47,26.23,63.916,18.88
86,07/19/2023 20:24:47,26.26,63.477,18.80
87,07/19/2023 20:34:47,26.28,63.086,18.72
88,07/19/2023 20:44:47,26.33,62.695,18.67
89,07/19/2023 20:54:47,26.33,62.354,18.58
90,07/19/2023 21:04:47,26.38,61.987,18.53
91,07/19/2023 21:14:47,26.38,61.670,18.45
92,07/19/2023 21:24:47,26.40,61.353,18.39
93,07/19/2023 21:34:47,26.43,61.011,18.33
94,07/19/2023 21:44:47,26.43,60.718,18.25
95,07/19/2023 21:54:47,26.45,60.400,18.18
96,07/19/2023 22:04:47,26.45,60.132,18.11
97,07/19/2023 22:14:47,26.45,59.888,18.05
98,07/19/2023 22:24:47,26.48,59.595,18.00
99,07/19/2023 22:34:47,26.48,59.326,17.93
100,07/19/2023 22:44:47,26.50,59.033,17.87
101,07/19/2023 22:54:47,26.50,58.765,17.79
102,07/19/2023 23:04:47,26.48,59.106,17.87
103,07/19/2023 23:14:47,26.50,59.106,17.89
104,07/19/2023 23:24:47,26.48,59.668,18.02
105,07/19/2023 23:34:47,26.48,59.619,18.01
106,07/19/2023 23:44:47,26.45,60.181,18.13
107,07/19/2023 23:54:47,26.48,60.181,18.15
108,07/20/2023 00:04:47,26.48,60.107,18.14
109,07/20/2023 00:14:47,26.48,60.059,18.12
110,07/20/2023 00:24:47,26.45,60.474,18.20
111,07/20/2023 00:34:47,26.45,60.571,18.23
112,07/20/2023 00:44:47,26.45,60.522,18.22
113,07/20/2023 00:54:47,26.45,60.474,18.20
114,07/20/2023 01:04:47,26.43,61.206,18.38
115,07/20/2023 01:14:47,26.40,62.378,18.65
116,07/20/2023 01:24:47,26.40,62.671,18.73
117,07/20/2023 01:34:47,26.40,62.866,18.78
118,07/20/2023 01:44:47,26.40,63.037,18.82
119,07/20/2023 01:54:47,26.40,63.208,18.86
120,07/20/2023 02:04:47,26.38,63.354,18.88
121,07/20/2023 02:14:47,26.38,63.721,18.97
122,07/20/2023 02:24:47,26.38,64.014,19.05
123,07/20/2023 02:34:47,26.35,64.307,19.09
124,07/20/2023 02:44:47,26.35,64.624,19.17
125,07/20/2023 02:54:47,26.33,64.966,19.24
126,07/20/2023 03:04:47,26.33,65.259,19.31
127,07/20/2023 03:14:47,26.33,65.479,19.36
128,07/20/2023 03:24:47,26.33,65.625,19.40
129,07/20/2023 03:34:47,26.30,65.479,19.34
130,07/20/2023 03:44:47,26.33,65.137,19.28
131,07/20/2023 03:54:47,26.33,64.771,19.19
132,07/20/2023 04:04:47,26.33,64.331,19.08
133,07/20/2023 04:14:47,26.33,63.940,18.98
134,07/20/2023 04:24:47,26.35,63.550,18.90
135,07/20/2023 04:34:47,26.35,63.159,18.80
136,07/20/2023 04:44:47,26.35,62.793,18.71
137,07/20/2023 04:54:47,26.35,62.451,18.62
138,07/20/2023 05:04:47,26.35,62.085,18.53
139,07/20/2023 05:14:47,26.35,61.768,18.45
140,07/20/2023 05:24:47,26.38,61.499,18.41
141,07/20/2023 05:34:47,26.38,61.206,18.33
142,07/20/2023 05:44:47,26.35,60.938,18.23
143,07/20/2023 05:54:47,26.38,60.645,18.18
144,07/20/2023 06:04:47,26.45,60.254,18.15
145,07/20/2023 06:14:47,26.70,59.448,18.17
146,07/20/2023 06:24:47,26.89,56.714,17.59
147,07/20/2023 06:34:47,27.09,54.614,17.18
148,07/20/2023 06:44:47,27.33,54.053,17.24
149,07/20/2023 06:54:47,25.87,56.934,16.70
150,07/20/2023 07:04:47,26.38,55.249,16.71
151,07/20/2023 07:14:47,26.60,53.223,16.32
152,07/20/2023 07:24:47,26.82,51.953,16.15
153,07/20/2023 07:34:47,27.01,52.637,16.53
154,07/20/2023 07:44:47,27.19,54.639,17.28
155,07/20/2023 07:54:47,27.36,56.152,17.87
156,07/20/2023 08:04:47,26.35,48.511,14.64
157,07/20/2023 08:14:47,26.33,62.598,18.64
158,07/20/2023 08:24:47,26.55,62.646,18.86
159,07/20/2023 08:34:47,26.79,62.549,19.06
160,07/20/2023 08:44:47,26.99,62.500,19.24
161,07/20/2023 08:54:47,27.21,62.500,19.45
162,07/20/2023 09:04:47,27.41,62.549,19.65
163,07/20/2023 09:14:47,26.01,66.479,19.31
164,07/20/2023 09:24:47,26.48,66.675,19.80
165,07/20/2023 09:34:47,26.72,66.455,19.97
166,07/20/2023 09:44:47,26.96,66.235,20.15
167,07/20/2023 09:54:47,27.16,66.016,20.29
168,07/20/2023 10:04:47,27.38,65.894,20.46
169,07/20/2023 10:14:47,26.01,67.383,19.52
170,07/20/2023 10:24:47,26.48,69.434,20.46
171,07/20/2023 10:34:47,26.72,68.701,20.51
172,07/20/2023 10:44:47,26.96,67.920,20.56
173,07/20/2023 10:54:47,27.19,67.065,20.57
174,07/20/2023 11:04:47,27.16,62.793,19.48
175,07/20/2023 11:14:47,26.26,69.604,20.29
176,07/20/2023 11:24:47,26.57,68.262,20.27
177,07/20/2023 11:34:47,26.82,67.065,20.22
178,07/20/2023 11:44:47,27.09,65.942,20.20
179,07/20/2023 11:54:47,27.31,64.819,20.13
180,07/20/2023 12:04:47,25.96,66.431,19.25
181,07/20/2023 12:14:47,26.48,66.748,19.82
182,07/20/2023 12:24:47,26.74,65.601,19.78
183,07/20/2023 12:34:47,26.99,64.526,19.75
184,07/20/2023 12:44:47,27.23,63.452,19.71
185,07/20/2023 12:54:47,26.08,54.297,16.15
186,07/20/2023 13:04:47,26.50,64.917,19.39
187,07/20/2023 13:14:47,26.77,63.647,19.33
188,07/20/2023 13:24:47,27.04,62.598,19.31
189,07/20/2023 13:34:47,27.26,61.621,19.27
190,07/20/2023 13:44:47,25.96,62.695,18.32
191,07/20/2023 13:54:47,26.60,63.086,19.02
192,07/20/2023 14:04:47,26.84,62.036,18.98
193,07/20/2023 14:14:47,27.11,61.060,18.98
194,07/20/2023 14:24:47,27.36,60.083,18.96
195,07/20/2023 14:34:47,26.11,63.062,18.55
196,07/20/2023 14:44:47,26.70,61.426,18.69
197,07/20/2023 14:54:47,26.96,60.474,18.68
198,07/20/2023 15:04:47,27.21,59.521,18.66
199,07/20/2023 15:14:47,26.16,50.977,15.24
200,07/20/2023 15:24:47,26.55,61.279,18.51
201,07/20/2023 15:34:47,26.79,60.010,18.40
202,07/20/2023 15:44:47,27.06,59.106,18.41
203,07/20/2023 15:54:47,27.31,58.203,18.40
204,07/20/2023 16:04:47,26.04,60.962,17.95
205,07/20/2023 16:14:47,26.70,59.546,18.19
206,07/20/2023 16:24:47,26.96,58.594,18.18
207,07/20/2023 16:34:47,27.21,57.788,18.19
208,07/20/2023 16:44:47,26.04,54.688,16.23
209,07/20/2023 16:54:47,26.62,59.204,18.03
210,07/20/2023 17:04:47,26.89,58.179,18.00
211,07/20/2023 17:14:47,27.09,60.229,18.74
212,07/20/2023 17:24:47,27.26,62.891,19.60
213,07/20/2023 17:34:47,27.46,63.452,19.93
214,07/20/2023 17:44:47,26.18,67.822,19.79
215,07/20/2023 17:54:47,26.74,67.773,20.31
216,07/20/2023 18:04:47,26.99,67.700,20.53
217,07/20/2023 18:14:47,27.21,67.627,20.72
218,07/20/2023 18:24:47,27.43,67.651,20.94
219,07/20/2023 18:34:47,26.18,71.899,20.74
220,07/20/2023 18:44:47,26.60,71.753,21.11
221,07/20/2023 18:54:47,26.84,71.436,21.26
222,07/20/2023 19:04:47,27.09,71.143,21.44
223,07/20/2023 19:14:47,27.31,70.923,21.60
224,07/20/2023 19:24:47,26.28,58.081,17.40
225,07/20/2023 19:34:47,26.50,75.220,21.78
226,07/20/2023 19:44:47,26.74,74.683,21.90
227,07/20/2023 19:54:47,26.99,74.194,22.03
228,07/20/2023 20:04:47,27.21,73.755,22.14
229,07/20/2023 20:14:47,27.41,72.607,22.08
230,07/20/2023 20:24:47,26.23,77.026,21.91
231,07/20/2023 20:34:47,26.62,77.466,22.38
232,07/20/2023 20:44:47,26.87,76.807,22.48
233,07/20/2023 20:54:47,27.11,76.196,22.58
234,07/20/2023 21:04:47,27.26,75.781,22.64
235,07/20/2023 21:14:47,27.23,76.001,22.66
236,07/20/2023 21:24:47,27.21,76.367,22.72
237,07/20/2023 21:34:47,27.19,76.733,22.78
238,07/20/2023 21:44:47,27.16,77.051,22.82
239,07/20/2023 21:54:47,27.14,77.368,22.86
240,07/20/2023 22:04:47,27.11,77.637,22.89
241,07/20/2023 22:14:47,27.09,77.930,22.94
242,07/20/2023 22:24:47,27.06,78.174,22.96
243,07/20/2023 22:34:47,27.06,78.442,23.01
244,07/20/2023 22:44:47,27.04,78.662,23.04
245,07/20/2023 22:54:47,27.01,78.833,23.05
246,07/20/2023 23:04:47,27.01,78.955,23.07
247,07/20/2023 23:14:47,26.99,79.004,23.07
248,07/20/2023 23:24:47,26.99,79.004,23.07
249,07/20/2023 23:34:47,26.96,78.906,23.02
250,07/20/2023 23:44:47,26.96,78.687,22.97
251,07/20/2023 23:54:47,26.94,78.247,22.86
252,07/21/2023 00:04:47,26.94,77.759,22.75
253,07/21/2023 00:14:47,26.94,77.197,22.63
254,07/21/2023 00:24:47,26.94,76.636,22.51
255,07/21/2023 00:34:47,26.94,76.099,22.40
256,07/21/2023 00:44:47,26.94,75.537,22.28
257,07/21/2023 00:54:47,25.60,60.596,17.44
258,07/21/2023 01:04:47,25.67,78.784,21.74
259,07/21/2023 01:14:47,25.70,78.296,21.66
260,07/21/2023 01:24:47,25.74,77.515,21.54
261,07/21/2023 01:34:47,25.79,76.782,21.43
262,07/21/2023 01:44:47,25.84,76.025,21.32
263,07/21/2023 01:54:47,25.87,75.391,21.21
264,07/21/2023 02:04:47,25.89,74.756,21.09
265,07/21/2023 02:14:47,25.91,74.219,20.99
266,07/21/2023 02:24:47,25.94,73.657,20.90
267,07/21/2023 02:34:47,25.96,73.120,20.80
268,07/21/2023 02:44:47,25.96,72.632,20.69
269,07/21/2023 02:54:47,25.99,72.168,20.61
270,07/21/2023 03:04:47,25.99,71.729,20.51
271,07/21/2023 03:14:47,26.01,71.289,20.43
272,07/21/2023 03:24:47,26.01,70.898,20.34
273,07/21/2023 03:34:47,26.04,70.483,20.28
274,07/21/2023 03:44:47,26.04,70.117,20.19
275,07/21/2023 03:54:47,26.04,69.727,20.10
276,07/21/2023 04:04:47,26.13,69.263,20.08
277,07/21/2023 04:14:47,26.35,68.262,20.06
278,07/21/2023 04:24:47,26.60,67.261,20.06
279,07/21/2023 04:34:47,26.84,66.235,20.03
280,07/21/2023 04:44:47,27.06,65.283,20.01
281,07/21/2023 04:54:47,27.28,64.404,20.00
282,07/21/2023 05:04:47,25.89,63.379,18.43
283,07/21/2023 05:14:47,26.40,66.602,19.71
284,07/21/2023 05:24:47,26.65,65.625,19.70
285,07/21/2023 05:34:47,26.89,64.648,19.69
286,07/21/2023 05:44:47,27.11,63.696,19.66
287,07/21/2023 05:54:47,27.36,62.842,19.68
288,07/21/2023 06:04:47,25.96,66.016,19.14
289,07/21/2023 06:14:47,26.48,64.575,19.28
290,07/21/2023 06:24:47,26.57,56.177,17.15
291,07/21/2023 06:34:47,26.74,54.443,16.81
292,07/21/2023 06:44:47,26.92,55.249,17.21
293,07/21/2023 06:54:47,27.01,58.081,18.09
294,07/21/2023 07:04:47,27.16,59.521,18.62
295,07/21/2023 07:14:47,27.28,58.594,18.48
296,07/21/2023 07:24:47,27.46,59.253,18.83
297,07/21/2023 07:34:47,26.01,63.428,18.55
298,07/21/2023 07:44:47,26.45,63.794,19.06
299,07/21/2023 07:54:47,26.67,63.770,19.26
300,07/21/2023 08:04:47,26.89,63.818,19.48
301,07/21/2023 08:14:47,27.09,63.867,19.68
302,07/21/2023 08:24:47,27.28,64.014,19.90
303,07/21/2023 08:34:47,27.16,59.155,18.52
304,07/21/2023 08:44:47,26.28,68.750,20.10
305,07/21/2023 08:54:47,26.57,68.140,20.24
306,07/21/2023 09:04:47,26.79,67.822,20.37
307,07/21/2023 09:14:47,27.01,67.603,20.53
308,07/21/2023 09:24:47,27.21,67.480,20.69
309,07/21/2023 09:34:47,27.41,67.456,20.87
310,07/21/2023 09:44:47,26.06,70.093,20.21
311,07/21/2023 09:54:47,26.52,71.460,20.96
312,07/21/2023 10:04:47,26.77,70.947,21.08
313,07/21/2023 10:14:47,26.99,70.532,21.20
314,07/21/2023 10:24:47,27.19,70.264,21.33
315,07/21/2023 10:34:47,27.41,70.044,21.49
316,07/21/2023 10:44:47,26.08,71.289,20.50
317,07/21/2023 10:54:47,26.52,74.048,21.54
318,07/21/2023 11:04:47,26.77,73.389,21.64
319,07/21/2023 11:14:47,26.99,72.852,21.73
320,07/21/2023 11:24:47,27.21,72.437,21.85
321,07/21/2023 11:34:47,27.41,72.192,21.98
322,07/21/2023 11:44:47,26.13,75.171,21.41
323,07/21/2023 11:54:47,26.57,75.977,22.01
324,07/21/2023 12:04:47,26.82,75.244,22.10
325,07/21/2023 12:14:47,27.06,74.585,22.18
326,07/21/2023 12:24:47,27.26,73.999,22.25
327,07/21/2023 12:34:47,26.50,58.179,17.64
328,07/21/2023 12:44:47,26.43,77.515,22.21
329,07/21/2023 12:54:47,26.67,76.050,22.13
330,07/21/2023 13:04:47,26.92,74.683,22.07
331,07/21/2023 13:14:47,27.19,73.364,22.04
332,07/21/2023 13:24:47,26.92,63.550,19.44
333,07/21/2023 13:34:47,26.35,75.513,21.70
334,07/21/2023 13:44:47,26.67,73.779,21.63
335,07/21/2023 13:54:47,26.92,72.412,21.56
336,07/21/2023 14:04:47,27.16,71.191,21.51
337,07/21/2023 14:14:47,26.74,60.498,18.48
338,07/21/2023 14:24:47,26.38,73.315,21.25
339,07/21/2023 14:34:47,26.67,71.753,21.17
340,07/21/2023 14:44:47,26.92,70.557,21.14
341,07/21/2023 14:54:47,27.19,69.482,21.15
342,07/21/2023 15:04:47,26.48,56.714,17.21
343,07/21/2023 15:14:47,26.45,71.558,20.92
344,07/21/2023 15:24:47,26.72,70.142,20.85
345,07/21/2023 15:34:47,26.99,69.067,20.86
346,07/21/2023 15:44:47,27.23,68.066,20.85
347,07/21/2023 15:54:47,26.18,61.670,18.26
348,07/21/2023 16:04:47,26.50,69.946,20.59
349,07/21/2023 16:14:47,26.77,68.701,20.56
350,07/21/2023 16:24:47,27.01,67.603,20.53
351,07/21/2023 16:34:47,27.28,66.650,20.55
352,07/21/2023 16:44:47,26.11,67.188,19.57
353,07/21/2023 16:54:47,26.57,68.359,20.29
354,07/21/2023 17:04:47,26.82,67.261,20.26
355,07/21/2023 17:14:47,27.09,66.211,20.27
356,07/21/2023 17:24:47,27.36,65.283,20.29
357,07/21/2023 17:34:47,26.16,68.506,19.93
358,07/21/2023 17:44:47,26.62,66.943,20.00
359,07/21/2023 17:54:47,26.89,65.942,20.01
360,07/21/2023 18:04:47,27.14,64.966,20.01
361,07/21/2023 18:14:47,27.06,59.717,18.58
362,07/21/2023 18:24:47,26.30,67.261,19.77
363,07/21/2023 18:34:47,26.65,65.771,19.74
364,07/21/2023 18:44:47,26.92,64.771,19.75
365,07/21/2023 18:54:47,27.19,63.843,19.77
366,07/21/2023 19:04:47,26.50,53.540,16.32
367,07/21/2023 19:14:47,26.35,65.991,19.51
368,07/21/2023 19:24:47,26.65,64.722,19.48
369,07/21/2023 19:34:47,26.92,63.745,19.49
370,07/21/2023 19:44:47,27.19,62.842,19.52
371,07/21/2023 19:54:47,26.52,52.734,16.10
372,07/21/2023 20:04:47,26.35,65.112,19.29
373,07/21/2023 20:14:47,26.65,63.818,19.25
374,07/21/2023 20:24:47,26.92,62.842,19.26
375,07/21/2023 20:34:47,27.19,62.036,19.31
376,07/21/2023 20:44:47,27.43,61.230,19.32
377,07/21/2023 20:54:47,27.65,60.522,19.34
378,07/21/2023 21:04:47,27.78,59.961,19.32
379,07/21/2023 21:14:47,27.75,59.863,19.26
380,07/21/2023 21:24:47,27.73,59.863,19.24
381,07/21/2023 21:34:47,27.68,59.863,19.20
382,07/21/2023 21:44:47,27.63,59.839,19.14
383,07/21/2023 21:54:47,27.60,59.766,19.10
384,07/21/2023 22:04:47,27.58,59.741,19.07
385,07/21/2023 22:14:47,27.55,59.619,19.01
386,07/21/2023 22:24:47,27.53,59.595,18.98
387,07/21/2023 22:34:47,27.51,59.497,18.94
388,07/21/2023 22:44:47,27.51,59.375,18.91
389,07/21/2023 22:54:47,27.48,59.302,18.86
390,07/21/2023 23:04:47,27.46,59.204,18.81
391,07/21/2023 23:14:47,27.46,59.106,18.79
392,07/21/2023 23:24:47,27.43,59.033,18.74
393,07/21/2023 23:34:47,27.43,58.960,18.72
394,07/21/2023 23:44:47,27.41,58.862,18.67
395,07/21/2023 23:54:47,27.38,58.765,18.62
396,07/22/2023 00:04:47,27.38,58.667,18.59
397,07/22/2023 00:14:47,27.38,58.594,18.57
398,07/22/2023 00:24:47,27.36,58.496,18.53
399,07/22/2023 00:34:47,27.36,58.398,18.50
400,07/22/2023 00:44:47,27.33,58.301,18.44
401,07/22/2023 00:54:47,27.33,58.179,18.41
402,07/22/2023 01:04:47,27.33,58.081,18.38
403,07/22/2023 01:14:47,26.72,59.326,18.15
404,07/22/2023 01:24:47,26.72,59.229,18.13
405,07/22/2023 01:34:47,26.72,59.497,18.20
406,07/22/2023 01:44:47,26.74,59.595,18.24
407,07/22/2023 01:54:47,26.74,59.497,18.22
408,07/22/2023 02:04:47,26.74,60.059,18.37
409,07/22/2023 02:14:47,26.74,60.010,18.35
410,07/22/2023 02:24:47,26.77,59.985,18.38
411,07/22/2023 02:34:47,26.74,60.474,18.48
412,07/22/2023 02:44:47,26.77,60.522,18.52
413,07/22/2023 02:54:47,26.74,60.474,18.48
414,07/22/2023 03:04:47,26.77,60.449,18.50
415,07/22/2023 03:14:47,26.77,60.449,18.50
416,07/22/2023 03:24:47,26.77,60.425,18.49
417,07/22/2023 03:34:47,26.77,60.547,18.52
418,07/22/2023 03:44:47,26.74,61.084,18.64
419,07/22/2023 03:54:47,26.74,61.035,18.62
420,07/22/2023 04:04:47,26.82,60.962,18.68
421,07/22/2023 04:14:47,27.04,60.425,18.75
422,07/22/2023 04:24:47,27.23,61.328,19.16
423,07/22/2023 04:34:47,27.01,55.078,17.24
424,07/22/2023 04:44:47,26.28,64.917,19.18
425,07/22/2023 04:54:47,26.60,63.916,19.23
426,07/22/2023 05:04:47,26.87,63.330,19.34
427,07/22/2023 05:14:47,27.09,62.842,19.42
428,07/22/2023 05:24:47,27.33,62.378,19.53
429,07/22/2023 05:34:47,25.99,64.014,18.68
430,07/22/2023 05:44:47,26.48,65.210,19.44
431,07/22/2023 05:54:47,26.72,64.526,19.50
432,07/22/2023 06:04:47,26.99,63.965,19.61
433,07/22/2023 06:14:47,27.21,63.452,19.69
434,07/22/2023 06:24:47,27.04,56.934,17.80
435,07/22/2023 06:34:47,26.28,66.772,19.63
436,07/22/2023 06:44:47,26.60,65.601,19.65
437,07/22/2023 06:54:47,26.84,64.673,19.65
438,07/22/2023 07:04:47,27.11,63.721,19.67
439,07/22/2023 07:14:47,27.36,62.817,19.67
440,07/22/2023 07:24:47,26.01,66.113,19.22
441,07/22/2023 07:34:47,26.50,64.697,19.33
442,07/22/2023 07:44:47,26.77,63.672,19.33
443,07/22/2023 07:54:47,27.04,62.695,19.34
444,07/22/2023 08:04:47,27.26,61.890,19.34
445,07/22/2023 08:14:47,25.96,62.622,18.30
446,07/22/2023 08:24:47,26.43,63.867,19.06
447,07/22/2023 08:34:47,26.70,62.842,19.05
448,07/22/2023 08:44:47,26.94,61.963,19.05
449,07/22/2023 08:54:47,27.19,61.182,19.09
450,07/22/2023 09:04:47,26.40,50.659,15.36
451,07/22/2023 09:14:47,26.35,63.330,18.85
452,07/22/2023 09:24:47,26.62,62.183,18.81
453,07/22/2023 09:34:47,26.87,61.279,18.81
454,07/22/2023 09:44:47,27.14,60.498,18.86
455,07/22/2023 09:54:47,27.36,59.766,18.87
456,07/22/2023 10:04:47,26.06,62.939,18.47
457,07/22/2023 10:14:47,26.55,61.621,18.60
458,07/22/2023 10:24:47,26.79,60.767,18.60
459,07/22/2023 10:34:47,27.04,59.985,18.63
460,07/22/2023 10:44:47,27.28,59.302,18.67
461,07/22/2023 10:54:47,26.04,61.401,18.06
462,07/22/2023 11:04:47,26.50,61.108,18.42
463,07/22/2023 11:14:47,26.77,60.254,18.45
464,07/22/2023 11:24:47,27.01,59.448,18.46
465,07/22/2023 11:34:47,27.26,58.740,18.50
466,07/22/2023 11:44:47,26.04,59.863,17.66
467,07/22/2023 11:54:47,26.52,60.547,18.29
468,07/22/2023 12:04:47,26.79,59.619,18.30
469,07/22/2023 12:14:47,27.06,58.862,18.35
470,07/22/2023 12:24:47,27.28,58.179,18.36
471,07/22/2023 12:34:47,26.06,60.425,17.82
472,07/22/2023 12:44:47,26.67,59.668,18.20
473,07/22/2023 12:54:47,26.92,58.838,18.21
474,07/22/2023 13:04:47,27.19,58.105,18.26
475,07/22/2023 13:14:47,26.40,50.732,15.39
476,07/22/2023 13:24:47,26.52,59.937,18.13
477,07/22/2023 13:34:47,26.74,62.915,19.11
478,07/22/2023 13:44:47,26.96,63.721,19.52
479,07/22/2023 13:54:47,27.19,64.502,19.94
480,07/22/2023 14:04:47,27.41,64.624,20.18
481,07/22/2023 14:14:47,26.18,68.286,19.90
482,07/22/2023 14:24:47,26.77,68.677,20.55
483,07/22/2023 14:34:47,27.01,68.237,20.68
484,07/22/2023 14:44:47,27.23,67.896,20.81
485,07/22/2023 14:54:47,27.23,63.770,19.79
486,07/22/2023 15:04:47,26.40,71.851,20.94
487,07/22/2023 15:14:47,26.94,70.679,21.19
488,07/22/2023 15:24:47,27.19,70.166,21.31
489,07/22/2023 15:34:47,27.31,68.018,20.91
490,07/22/2023 15:44:47,26.35,73.779,21.32
491,07/22/2023 15:54:47,26.92,72.632,21.61
492,07/22/2023 16:04:47,27.19,71.997,21.73
493,07/22/2023 16:14:47,27.21,67.188,20.62
494,07/22/2023 16:24:47,26.35,75.562,21.71
495,07/22/2023 16:34:47,26.67,74.609,21.81
496,07/22/2023 16:44:47,26.92,73.877,21.89
497,07/22/2023 16:54:47,27.16,73.242,21.98
498,07/22/2023 17:04:47,27.38,72.778,22.09
499,07/22/2023 17:14:47,26.21,74.121,21.26
500,07/22/2023 17:24:47,26.65,76.196,22.14
501,07/22/2023 17:34:47,26.89,75.366,22.19
502,07/22/2023 17:44:47,27.14,74.658,22.28
503,07/22/2023 17:54:47,27.38,74.121,22.39
504,07/22/2023 18:04:47,26.21,73.779,21.19
505,07/22/2023 18:14:47,26.48,77.637,22.28
506,07/22/2023 18:24:47,26.72,76.660,22.31
507,07/22/2023 18:34:47,26.96,75.732,22.34
508,07/22/2023 18:44:47,27.21,74.878,22.39
509,07/22/2023 18:54:47,27.46,74.072,22.45
510,07/22/2023 19:04:47,27.65,73.218,22.45
511,07/22/2023 19:14:47,27.87,72.217,22.43
512,07/22/2023 19:24:47,28.07,71.240,22.40
513,07/22/2023 19:34:47,28.27,70.288,22.37
514,07/22/2023 19:44:47,28.47,69.385,22.35
