#,Date-Time (PST),Ch: 1 - Temperature   (°C ),Ch: 2 - RH   (%),Dew Point   (°C ),Host Connected,End of File
163,2/4/2023 9:40,27.31,63.599,19.82,,
164,2/4/2023 9:50,27.51,62.598,19.76,,
165,2/4/2023 10:00,27.68,61.694,19.68,,
166,2/4/2023 10:10,27.85,60.962,19.65,,
167,2/4/2023 10:20,27.97,60.303,19.59,,
168,2/4/2023 10:30,28.12,59.79,19.59,,
169,2/4/2023 10:40,26.33,50.244,15.17,,
170,2/4/2023 10:50,26.28,68.506,20.05,,
171,2/4/2023 11:00,26.79,66.895,20.15,,
172,2/4/2023 11:10,27.09,65.576,20.11,,
173,2/4/2023 11:20,27.33,64.526,20.08,,
174,2/4/2023 11:30,27.53,63.501,20.01,,
175,2/4/2023 11:40,27.7,62.72,19.97,,
176,2/4/2023 11:50,27.85,62.061,19.94,,
177,2/4/2023 12:00,27.97,61.572,19.92,,
178,2/4/2023 12:10,28.15,61.108,19.97,,
179,2/4/2023 12:20,27.28,54.395,17.29,,
180,2/4/2023 12:30,26.23,67.798,19.83,,
181,2/4/2023 12:40,26.84,65.234,19.79,,
182,2/4/2023 12:50,27.16,63.916,19.76,,
183,2/4/2023 13:00,27.41,62.891,19.74,,
184,2/4/2023 13:10,27.6,62.183,19.73,,
185,2/4/2023 13:20,27.78,61.572,19.74,,
186,2/4/2023 13:30,27.95,61.133,19.79,,
187,2/4/2023 13:40,28.1,60.718,19.82,,
188,2/4/2023 13:50,27.8,56.519,18.39,,
189,2/4/2023 14:00,26.18,67.578,19.73,,
190,2/4/2023 14:10,26.84,64.844,19.69,,
191,2/4/2023 14:20,27.21,63.403,19.68,,
192,2/4/2023 14:30,27.48,62.378,19.67,,
193,2/4/2023 14:40,27.68,61.597,19.66,,
194,2/4/2023 14:50,27.87,60.962,19.67,,
195,2/4/2023 15:00,28.05,60.4,19.69,,
196,2/4/2023 15:10,28.22,59.888,19.71,,
197,2/4/2023 15:20,25.84,70.532,20.1,,
198,2/4/2023 15:30,26.7,68.457,20.44,,
199,2/4/2023 15:40,27.06,66.846,20.39,,
200,2/4/2023 15:50,27.36,65.503,20.35,,
201,2/4/2023 16:00,27.6,64.355,20.29,,
202,2/4/2023 16:10,27.8,63.354,20.22,,
203,2/4/2023 16:20,28,62.598,20.22,,
204,2/4/2023 16:30,28.17,61.914,20.2,,
205,2/4/2023 16:40,25.33,65.015,18.3,,
206,2/4/2023 16:50,26.62,66.992,20.01,,
207,2/4/2023 17:00,27.06,64.917,19.92,,
208,2/4/2023 17:10,27.38,63.696,19.91,,
209,2/4/2023 17:20,27.63,62.793,19.92,,
210,2/4/2023 17:30,27.83,62.158,19.94,,
211,2/4/2023 17:40,28,61.621,19.96,,
212,2/4/2023 17:50,28.2,61.182,20.04,,
213,2/4/2023 18:00,25.5,67.749,19.12,,
214,2/4/2023 18:10,26.72,66.333,19.94,,
215,2/4/2023 18:20,27.14,64.648,19.93,,
216,2/4/2023 18:30,27.43,63.501,19.91,,
217,2/4/2023 18:40,27.68,62.72,19.95,,
218,2/4/2023 18:50,27.87,62.061,19.96,,
219,2/4/2023 19:00,28.05,61.523,19.99,,
220,2/4/2023 19:10,28.22,61.035,20.02,,
221,2/4/2023 19:20,26.04,68.604,19.84,,
222,2/4/2023 19:30,26.84,65.43,19.84,,
223,2/4/2023 19:40,27.21,63.843,19.79,,
224,2/4/2023 19:50,27.48,62.769,19.77,,
225,2/4/2023 20:00,27.73,61.865,19.77,,
226,2/4/2023 20:10,27.92,61.133,19.76,,
227,2/4/2023 20:20,28.1,60.425,19.74,,
228,2/4/2023 20:30,25.45,49.243,14.05,,
229,2/4/2023 20:40,26.5,65.454,19.52,,
230,2/4/2023 20:50,27.01,63.159,19.43,,
231,2/4/2023 21:00,27.33,61.572,19.32,,
232,2/4/2023 21:10,27.6,60.156,19.2,,
233,2/4/2023 21:20,27.83,58.789,19.05,,
234,2/4/2023 21:30,27.92,59.619,19.36,,
235,2/4/2023 21:40,28.07,60.571,19.75,,
236,2/4/2023 21:50,28,57.642,18.89,,
237,2/4/2023 22:00,26.16,69.751,20.22,,
238,2/4/2023 22:10,26.79,68.286,20.48,,
239,2/4/2023 22:20,27.14,67.188,20.55,,
240,2/4/2023 22:30,27.41,66.187,20.56,,
241,2/4/2023 22:40,27.6,65.43,20.56,,
242,2/4/2023 22:50,27.8,64.771,20.58,,
243,2/4/2023 23:00,27.95,64.233,20.59,,
244,2/4/2023 23:10,28.12,63.745,20.63,,
245,2/4/2023 23:20,27.63,57.959,18.63,,
246,2/4/2023 23:30,26.3,70.483,20.53,,
247,2/4/2023 23:40,26.92,68.018,20.54,,
248,2/4/2023 23:50,27.23,66.65,20.51,,
249,2/5/2023 0:00,27.48,65.723,20.52,,
250,2/5/2023 0:10,27.68,65.063,20.54,,
251,2/5/2023 0:20,27.87,64.551,20.59,,
252,2/5/2023 0:30,28.02,64.16,20.64,,
253,2/5/2023 0:40,28.2,63.794,20.71,,
254,2/5/2023 0:50,25.4,69.971,19.55,,
255,2/5/2023 1:00,26.55,69.8,20.61,,
256,2/5/2023 1:10,26.99,67.969,20.6,,
257,2/5/2023 1:20,27.26,66.797,20.57,,
258,2/5/2023 1:30,27.51,65.942,20.6,,
259,2/5/2023 1:40,27.7,65.283,20.62,,
260,2/5/2023 1:50,27.87,64.722,20.64,,
261,2/5/2023 2:00,28.02,64.209,20.65,,
262,2/5/2023 2:10,28.2,63.721,20.7,,
263,2/5/2023 2:20,24.8,68.97,18.74,,
264,2/5/2023 2:30,26.52,70.19,20.67,,
265,2/5/2023 2:40,26.92,68.286,20.61,,
266,2/5/2023 2:50,27.19,66.846,20.52,,
267,2/5/2023 3:00,27.43,65.747,20.48,,
268,2/5/2023 3:10,27.65,64.771,20.44,,
269,2/5/2023 3:20,27.83,63.94,20.4,,
270,2/5/2023 3:30,28,63.135,20.36,,
271,2/5/2023 3:40,28.17,62.207,20.28,,
272,2/5/2023 3:50,28.34,61.279,20.19,,
273,2/5/2023 4:00,28.49,60.254,20.06,,
274,2/5/2023 4:10,28.64,59.131,19.9,,
275,2/5/2023 4:20,28.79,58.081,19.75,,
276,2/5/2023 4:30,28.97,57.056,19.63,,
277,2/5/2023 4:40,29.09,56.055,19.46,,
278,2/5/2023 4:50,29.24,55.054,19.31,,
279,2/5/2023 5:00,29.36,54.15,19.15,,
280,2/5/2023 5:10,29.49,53.247,19,,
281,2/5/2023 5:20,29.64,52.393,18.88,,
282,2/5/2023 5:30,29.77,51.611,18.76,,
283,2/5/2023 5:40,29.89,50.854,18.63,,
284,2/5/2023 5:50,30.02,50.098,18.51,,
285,2/5/2023 6:00,30.14,49.414,18.4,,
286,2/5/2023 6:10,30.24,48.706,18.26,,
287,2/5/2023 6:20,30.37,48.022,18.16,,
288,2/5/2023 6:30,30.47,47.339,18.02,,
289,2/5/2023 6:40,30.6,46.655,17.91,,
290,2/5/2023 6:50,30.7,46.021,17.78,,
291,2/5/2023 7:00,30.82,45.435,17.68,,
292,2/5/2023 7:10,30.92,44.849,17.57,,
293,2/5/2023 7:20,31.03,44.336,17.48,,
294,2/5/2023 7:30,31.13,43.774,17.37,,
295,2/5/2023 7:40,31.23,43.286,17.29,,
296,2/5/2023 7:50,31.33,42.822,17.2,,
297,2/5/2023 8:00,31.43,42.358,17.12,,
298,2/5/2023 8:10,31.51,41.919,17.03,,
299,2/5/2023 8:20,31.61,41.504,16.96,,
300,2/5/2023 8:30,31.71,41.138,16.91,,
301,2/5/2023 8:40,31.79,40.796,16.85,,
302,2/5/2023 8:50,31.87,40.479,16.8,,
303,2/5/2023 9:00,31.97,40.186,16.77,,
304,2/5/2023 9:10,32.05,39.941,16.75,,
305,2/5/2023 9:20,32.15,39.697,16.74,,
306,2/5/2023 9:30,32.23,39.478,16.72,,
307,2/5/2023 9:40,32.3,39.209,16.68,,
308,2/5/2023 9:50,32.38,39.038,16.68,,
309,2/5/2023 10:00,32.46,38.77,16.64,,
310,2/5/2023 10:10,32.54,38.574,16.64,,
311,2/5/2023 10:20,32.61,38.403,16.63,,
312,2/5/2023 10:30,32.69,38.184,16.61,,
313,2/5/2023 10:40,32.77,37.964,16.59,,
314,2/5/2023 10:50,32.85,37.769,16.58,,
315,2/5/2023 11:00,32.9,37.622,16.56,,
316,2/5/2023 11:10,32.98,37.427,16.55,,
317,2/5/2023 11:20,33.05,37.256,16.54,,
318,2/5/2023 11:30,33.13,37.061,16.53,,
319,2/5/2023 11:40,33.18,36.841,16.48,,
320,2/5/2023 11:50,33.26,36.646,16.46,,
321,2/5/2023 12:00,33.31,36.45,16.42,,
322,2/5/2023 12:10,33.37,36.255,16.39,,
323,2/5/2023 12:20,33.44,36.06,16.37,,
324,2/5/2023 12:30,33.5,35.938,16.37,,
325,2/5/2023 12:40,33.57,35.791,16.37,,
326,2/5/2023 12:50,33.63,35.669,16.36,,
327,2/5/2023 13:00,33.68,35.571,16.37,,
328,2/5/2023 13:10,28.32,39.697,13.33,,
329,2/5/2023 13:20,26.96,57.275,17.82,,
330,2/5/2023 13:30,26.13,61.572,18.19,,
331,2/5/2023 13:40,27.33,60.742,19.1,,
332,2/5/2023 13:50,26.72,71.313,21.12,,
333,2/5/2023 14:00,27.51,68.652,21.26,,
334,2/5/2023 14:10,27.97,67.065,21.31,,
335,2/5/2023 14:20,26.77,55.347,17.1,,
336,2/5/2023 14:30,26.33,74.072,21.37,,
337,2/5/2023 14:40,27.06,70.923,21.36,,
338,2/5/2023 14:50,27.46,68.945,21.28,,
339,2/5/2023 15:00,27.75,67.603,21.23,,
340,2/5/2023 15:10,27.97,66.602,21.2,,
341,2/5/2023 15:20,28.17,65.82,21.2,,
342,2/5/2023 15:30,24.87,64.063,17.63,,
343,2/5/2023 15:40,26.84,71.948,21.38,,
344,2/5/2023 15:50,27.14,70.313,21.29,,
345,2/5/2023 16:00,27.43,68.774,21.21,,
346,2/5/2023 16:10,27.65,67.603,21.14,,
347,2/5/2023 16:20,27.85,66.577,21.08,,
348,2/5/2023 16:30,28.02,65.698,21.02,,
349,2/5/2023 16:40,28.17,64.966,20.98,,
350,2/5/2023 16:50,24.75,57.08,15.7,,
351,2/5/2023 17:00,26.84,71.069,21.18,,
352,2/5/2023 17:10,27.09,69.409,21.03,,
353,2/5/2023 17:20,27.36,67.798,20.91,,
354,2/5/2023 17:30,27.58,66.65,20.84,,
355,2/5/2023 17:40,27.75,65.674,20.76,,
356,2/5/2023 17:50,27.95,64.868,20.75,,
357,2/5/2023 18:00,28.1,64.209,20.73,,
358,2/5/2023 18:10,28.22,63.306,20.61,,
359,2/5/2023 18:20,27.16,66.748,20.46,,
360,2/5/2023 18:30,27.55,64.99,20.4,,
361,2/5/2023 18:40,27.8,64.014,20.39,,
362,2/5/2023 18:50,28,63.281,20.39,,
363,2/5/2023 19:00,28.2,62.573,20.4,,
364,2/5/2023 19:10,26.92,66.528,20.18,,
365,2/5/2023 19:20,27.46,64.16,20.11,,
366,2/5/2023 19:30,27.73,62.72,20,,
367,2/5/2023 19:40,27.95,61.401,19.86,,
368,2/5/2023 19:50,28.17,60.107,19.72,,
369,2/5/2023 20:00,25.16,69.238,19.15,,
370,2/5/2023 20:10,26.26,68.262,19.97,,
371,2/5/2023 20:20,26.7,66.382,19.94,,
372,2/5/2023 20:30,27.01,65.063,19.91,,
373,2/5/2023 20:40,27.26,63.965,19.87,,
374,2/5/2023 20:50,27.48,63.037,19.84,,
375,2/5/2023 21:00,27.68,62.231,19.82,,
376,2/5/2023 21:10,27.83,61.621,19.8,,
377,2/5/2023 21:20,28,61.035,19.81,,
378,2/5/2023 21:30,28.15,60.547,19.82,,
379,2/5/2023 21:40,24.8,50.635,13.89,,
380,2/5/2023 21:50,25.91,70.972,20.27,,
381,2/5/2023 22:00,26.48,69.36,20.44,,
382,2/5/2023 22:10,26.82,68.091,20.46,,
383,2/5/2023 22:20,27.06,67.188,20.48,,
384,2/5/2023 22:30,27.28,66.479,20.51,,
385,2/5/2023 22:40,27.48,65.82,20.54,,
386,2/5/2023 22:50,27.65,65.21,20.55,,
387,2/5/2023 23:00,27.8,64.673,20.56,,
388,2/5/2023 23:10,27.95,64.258,20.6,,
389,2/5/2023 23:20,28.07,63.818,20.6,,
390,2/5/2023 23:30,28.22,63.428,20.64,,
391,2/5/2023 23:40,27.01,67.407,20.48,,
392,2/5/2023 23:50,27.43,65.771,20.48,,
393,2/6/2023 0:00,27.68,64.722,20.46,,
394,2/6/2023 0:10,27.85,63.916,20.41,,
395,2/6/2023 0:20,28,63.306,20.4,,
396,2/6/2023 0:30,28.15,62.817,20.42,,
397,2/6/2023 0:40,26.35,62.134,18.54,,
398,2/6/2023 0:50,27.23,65.332,20.18,,
399,2/6/2023 1:00,27.55,63.965,20.14,,
400,2/6/2023 1:10,27.78,63.135,20.15,,
401,2/6/2023 1:20,27.95,62.5,20.15,,
402,2/6/2023 1:30,28.1,61.865,20.12,,
403,2/6/2023 1:40,28.25,61.23,20.1,,
404,2/6/2023 1:50,27.14,64.551,19.9,,
405,2/6/2023 2:00,27.51,62.842,19.82,,
406,2/6/2023 2:10,27.75,61.792,19.77,,
407,2/6/2023 2:20,27.92,61.133,19.76,,
408,2/6/2023 2:30,28.1,60.62,19.79,,
409,2/6/2023 2:40,26.57,53.32,16.32,,
410,2/6/2023 2:50,27.21,62.842,19.54,,
411,2/6/2023 3:00,27.55,61.206,19.43,,
412,2/6/2023 3:10,27.78,59.741,19.26,,
413,2/6/2023 3:20,27.97,58.472,19.09,,
414,2/6/2023 3:30,28.02,60.669,19.73,,
415,2/6/2023 3:40,28.2,60.596,19.88,,
416,2/6/2023 3:50,26.82,64.819,19.67,,
417,2/6/2023 4:00,27.41,62.402,19.61,,
418,2/6/2023 4:10,27.68,61.328,19.59,,
419,2/6/2023 4:20,27.87,60.62,19.58,,
420,2/6/2023 4:30,28.02,60.034,19.56,,
421,2/6/2023 4:40,28.2,59.448,19.57,,
422,2/6/2023 4:50,26.77,65.942,19.9,,
423,2/6/2023 5:00,27.28,64.893,20.12,,
424,2/6/2023 5:10,27.55,64.16,20.19,,
425,2/6/2023 5:20,27.75,63.501,20.21,,
426,2/6/2023 5:30,27.92,62.842,20.21,,
427,2/6/2023 5:40,28.1,62.231,20.22,,
428,2/6/2023 5:50,28.05,59.302,19.39,,
429,2/6/2023 6:00,27.11,64.941,19.97,,
430,2/6/2023 6:10,27.41,58.521,18.58,,
431,2/6/2023 6:20,27.55,60.107,19.14,,
432,2/6/2023 6:30,27.6,64.185,20.25,,
433,2/6/2023 6:40,27.78,64.722,20.55,,
434,2/6/2023 6:50,27.95,64.575,20.68,,
435,2/6/2023 7:00,28.07,64.331,20.73,,
436,2/6/2023 7:10,28.22,64.111,20.81,,
437,2/6/2023 7:20,26.94,68.408,20.65,,
438,2/6/2023 7:30,27.43,66.504,20.66,,
439,2/6/2023 7:40,27.68,65.625,20.68,,
440,2/6/2023 7:50,27.75,57.837,18.71,,
441,2/6/2023 8:00,27.68,53.027,17.26,,
442,2/6/2023 8:10,27.68,54.614,17.73,,
443,2/6/2023 8:20,27.75,59.009,19.03,,
444,2/6/2023 8:30,27.9,60.376,19.54,,
445,2/6/2023 8:40,27.97,63.501,20.42,,
446,2/6/2023 8:50,28.02,65.503,20.97,,
447,2/6/2023 9:00,28.17,66.382,21.33,,
448,2/6/2023 9:10,25.67,51.416,14.92,,
449,2/6/2023 9:20,26.55,71.411,20.98,,
450,2/6/2023 9:30,26.87,64.673,19.68,,
451,2/6/2023 9:40,27.11,61.328,19.05,,
452,2/6/2023 9:50,27.33,61.572,19.32,,
453,2/6/2023 10:00,27.48,59.57,18.93,,
454,2/6/2023 10:10,27.33,52.368,16.74,,
455,2/6/2023 10:20,27.33,55.859,17.76,,
456,2/6/2023 10:30,27.33,51.929,16.61,,
457,2/6/2023 10:40,27.09,50.391,15.91,,
458,2/6/2023 10:50,26.99,50.244,15.78,,
459,2/6/2023 11:00,26.79,46.655,14.44,,
460,2/6/2023 11:10,26.79,55.298,17.1,,
461,2/6/2023 11:20,26.55,46.46,14.16,,
462,2/6/2023 11:30,26.77,43.994,13.52,,
463,2/6/2023 11:40,26.96,52.075,16.31,,
464,2/6/2023 11:50,27.7,47.681,15.61,,
465,2/6/2023 12:00,26.87,54.419,16.92,,
466,2/6/2023 12:10,26.74,61.963,18.87,,
467,2/6/2023 12:20,26.84,64.478,19.6,,
468,2/6/2023 12:30,26.89,62.378,19.11,,
469,2/6/2023 12:40,26.99,64.551,19.76,,
470,2/6/2023 12:50,26.55,57.739,17.56,,
471,2/6/2023 13:00,27.04,52.881,16.63,,
472,2/6/2023 13:10,26.74,47.778,14.76,,
473,2/6/2023 13:20,26.55,44.385,13.45,,
474,2/6/2023 13:30,26.5,51.294,15.65,,
475,2/6/2023 13:40,26.57,58.594,17.81,,
476,2/6/2023 13:50,26.62,61.67,18.68,,
477,2/6/2023 14:00,26.72,65.381,19.71,,
478,2/6/2023 14:10,26.84,67.798,20.41,,
479,2/6/2023 14:20,26.96,69.214,20.86,,
480,2/6/2023 14:30,27.09,70.02,21.18,,
481,2/6/2023 14:40,27.23,69.946,21.29,,
482,2/6/2023 14:50,27.36,70.435,21.53,,
483,2/6/2023 15:00,27.51,69.727,21.51,,
484,2/6/2023 15:10,27.65,68.799,21.42,,
485,2/6/2023 15:20,27.78,67.847,21.32,,
486,2/6/2023 15:30,27.9,66.895,21.2,,
487,2/6/2023 15:40,28.02,66.138,21.13,,
488,2/6/2023 15:50,28.17,65.405,21.09,,
489,2/6/2023 16:00,25.16,49.805,13.96,,
490,2/6/2023 16:06,,,,Logged,Logged
